item_type,item_name,avg_temp_c,humidity_pct,storage_type,location,season,expiry_days
Fruit,Apple,8.1,21.0,Refrigerated,Coastal,Spring,54
Fruit,Apple,24.2,37.7,ColdStorage,Rural,Winter,45
Fruit,Pear,18.0,62.5,Room,Rural,Summer,13
Fruit,Pear,28.7,30.6,Refrigerated,Coastal,Monsoon,19
Fruit,Pear,23.6,31.9,Refrigerated,Coastal,Monsoon,29
Fruit,Pear,20.9,69.3,ColdStorage,Mountain,Spring,30
Fruit,Pear,5.1,24.6,ColdStorage,Rural,Winter,36
Fruit,Pear,15.2,24.4,Room,Urban,Spring,19
Fruit,Pear,12.2,28.1,Room,Coastal,Monsoon,22
Fruit,Pear,3.6,47.0,Refrigerated,Mountain,Winter,35
Fruit,Pear,31.2,38.4,Refrigerated,Rural,Summer,14
Fruit,Pear,5.6,55.3,Room,Mountain,Winter,16
Fruit,Pear,1.1,65.4,ColdStorage,Rural,Spring,60
Fruit,Pear,22.1,37.1,Refrigerated,Urban,Summer,30
Fruit,Pear,32.4,53.5,Room,Coastal,Spring,9
Fruit,Pear,2.1,60.1,Room,Coastal,Monsoon,19
Fruit,Pear,29.4,61.1,Refrigerated,Mountain,Summer,17
Fruit,Pear,5.0,62.4,Refrigerated,Mountain,Winter,28
Fruit,Pear,24.8,49.3,ColdStorage,Rural,Spring,24
Fruit,Pear,10.2,70.4,ColdStorage,Rural,Spring,36
Fruit,Pear,16.5,85.7,Refrigerated,Urban,Spring,32
Fruit,Pear,26.8,49.9,ColdStorage,Rural,Monsoon,23
Fruit,Pear,15.2,87.8,Refrigerated,Mountain,Spring,20
Fruit,Pear,9.7,53.5,Refrigerated,Mountain,Summer,41
Fruit,Pear,26.3,26.6,ColdStorage,Mountain,Summer,33
Fruit,Pear,20.7,27.1,ColdStorage,Urban,Winter,27
Fruit,Pear,16.2,23.7,ColdStorage,Rural,Monsoon,47
Fruit,Pear,19.7,51.2,ColdStorage,Coastal,Monsoon,23
Fruit,Pear,0.7,62.9,ColdStorage,Coastal,Summer,32
Fruit,Pear,11.8,33.2,ColdStorage,Rural,Summer,38
Fruit,Pear,1.2,40.5,Refrigerated,Mountain,Spring,32
Fruit,Pear,7.7,33.3,ColdStorage,Mountain,Winter,56
Fruit,Pear,6.3,52.7,Room,Coastal,Spring,17
Fruit,Pear,23.7,75.4,ColdStorage,Rural,Summer,24
Fruit,Pear,18.3,93.6,Room,Coastal,Summer,9
Fruit,Pear,26.5,41.2,ColdStorage,Coastal,Summer,32
Fruit,Pear,31.9,61.4,Refrigerated,Mountain,Winter,18
Fruit,Pear,5.0,60.2,Refrigerated,Coastal,Winter,22
Fruit,Pear,12.5,55.8,ColdStorage,Rural,Spring,24
Fruit,Pear,2.7,82.6,ColdStorage,Mountain,Monsoon,43
Fruit,Pear,1.9,58.7,Refrigerated,Mountain,Winter,47
Fruit,Pear,20.0,61.3,Room,Urban,Summer,18
Fruit,Pear,10.4,81.1,Refrigerated,Coastal,Summer,25
Fruit,Pear,23.7,47.1,Refrigerated,Urban,Summer,17
Fruit,Pear,19.7,78.4,ColdStorage,Mountain,Spring,30
Fruit,Pear,6.5,82.6,Refrigerated,Rural,Spring,34
Fruit,Pear,26.5,58.7,Refrigerated,Coastal,Summer,18
Fruit,Pear,6.9,79.4,Refrigerated,Urban,Monsoon,21
Fruit,Pear,22.9,35.2,ColdStorage,Urban,Summer,29
Fruit,Pear,29.4,24.5,Room,Mountain,Spring,12
Fruit,Pear,15.4,21.5,ColdStorage,Coastal,Monsoon,37
Fruit,Pear,1.2,59.5,Refrigerated,Coastal,Monsoon,28
Fruit,Pear,13.2,94.6,Room,Mountain,Winter,11
Fruit,Pear,22.9,24.8,ColdStorage,Rural,Winter,26
Fruit,Pear,16.8,21.5,Room,Mountain,Spring,13
Fruit,Pear,4.7,89.3,Refrigerated,Rural,Winter,37
Fruit,Pear,7.5,63.4,Room,Rural,Spring,24
Fruit,Pear,12.5,76.7,Room,Rural,Summer,14
Fruit,Grapes,7.4,51.3,Refrigerated,Rural,Monsoon,21
Fruit,Grapes,21.8,22.7,Refrigerated,Mountain,Spring,16
Fruit,Grapes,9.2,94.2,Refrigerated,Rural,Winter,20
Fruit,Grapes,6.5,74.4,ColdStorage,Coastal,Summer,28
Fruit,Grapes,5.4,89.4,Room,Mountain,Monsoon,13
Fruit,Grapes,14.8,90.2,Refrigerated,Coastal,Summer,16
Fruit,Grapes,17.1,77.7,Room,Mountain,Spring,9
Fruit,Grapes,7.5,88.5,ColdStorage,Coastal,Summer,20
Fruit,Grapes,25.5,47.5,ColdStorage,Urban,Winter,13
Fruit,Grapes,21.5,66.3,Room,Mountain,Monsoon,8
Fruit,Grapes,7.3,74.5,ColdStorage,Mountain,Winter,18
Fruit,Grapes,3.1,62.3,Room,Urban,Monsoon,15
Fruit,Grapes,25.1,21.4,Room,Mountain,Summer,7
Fruit,Grapes,25.7,46.5,ColdStorage,Coastal,Winter,8
Fruit,Grapes,12.0,70.8,ColdStorage,Mountain,Monsoon,22
Fruit,Grapes,16.5,70.5,Refrigerated,Rural,Winter,18
Fruit,Grapes,5.8,85.2,ColdStorage,Rural,Summer,13
Fruit,Grapes,8.9,84.4,Refrigerated,Mountain,Winter,13
Fruit,Grapes,1.4,49.1,Room,Mountain,Winter,8
Fruit,Grapes,3.0,42.5,Refrigerated,Mountain,Spring,21
Fruit,Grapes,34.3,25.7,Room,Coastal,Winter,6
Fruit,Grapes,17.1,43.2,Room,Mountain,Summer,11
Fruit,Grapes,3.8,50.7,Refrigerated,Mountain,Spring,26
Fruit,Grapes,8.7,64.8,Refrigerated,Rural,Winter,20
Fruit,Grapes,17.2,84.7,Room,Urban,Summer,10
Fruit,Grapes,8.9,72.2,ColdStorage,Urban,Monsoon,24
Fruit,Grapes,7.6,80.6,Refrigerated,Rural,Summer,18
Fruit,Grapes,1.2,27.8,ColdStorage,Coastal,Winter,20
Fruit,Grapes,24.9,30.8,Room,Coastal,Spring,7
Fruit,Grapes,21.8,31.7,ColdStorage,Coastal,Spring,21
Fruit,Grapes,12.3,42.1,Room,Mountain,Winter,12
Fruit,Grapes,31.6,86.0,ColdStorage,Coastal,Winter,6
Fruit,Grapes,27.0,91.7,ColdStorage,Rural,Summer,13
Fruit,Grapes,18.2,54.7,Refrigerated,Rural,Winter,9
Fruit,Grapes,21.7,32.5,Refrigerated,Coastal,Spring,14
Fruit,Grapes,29.6,74.7,ColdStorage,Coastal,Summer,16
Fruit,Grapes,26.6,47.9,Refrigerated,Rural,Summer,12
Fruit,Grapes,31.7,23.1,Room,Rural,Summer,6
Fruit,Grapes,24.7,27.6,ColdStorage,Urban,Summer,10
Fruit,Grapes,24.0,26.5,Room,Coastal,Spring,8
Fruit,Grapes,20.6,48.0,ColdStorage,Mountain,Monsoon,14
Fruit,Grapes,5.1,56.6,ColdStorage,Urban,Winter,24
Fruit,Grapes,6.6,77.8,ColdStorage,Rural,Winter,11
Fruit,Grapes,20.2,20.6,ColdStorage,Rural,Winter,21
Fruit,Grapes,9.7,28.7,ColdStorage,Mountain,Monsoon,35
Fruit,Grapes,4.3,68.9,ColdStorage,Urban,Monsoon,31
Fruit,Grapes,23.3,76.8,Refrigerated,Mountain,Winter,7
Fruit,Grapes,6.7,49.1,Room,Coastal,Spring,16
Fruit,Grapes,28.9,62.6,Room,Rural,Spring,9
Fruit,Grapes,29.8,87.5,Room,Mountain,Winter,4
Fruit,Grapes,14.5,49.9,Refrigerated,Urban,Spring,11
Fruit,Grapes,9.7,48.8,Room,Mountain,Winter,12
Fruit,Grapes,0.1,92.5,ColdStorage,Urban,Summer,17
Fruit,Grapes,23.4,21.5,Room,Rural,Monsoon,5
Fruit,Grapes,12.4,47.3,ColdStorage,Coastal,Winter,15
Fruit,Grapes,33.3,42.7,ColdStorage,Mountain,Winter,9
Fruit,Orange,32.6,57.8,Room,Urban,Summer,15
Fruit,Orange,20.4,83.5,Refrigerated,Rural,Summer,25
Fruit,Orange,11.9,37.9,ColdStorage,Urban,Summer,55
Fruit,Orange,31.3,74.2,ColdStorage,Urban,Summer,22
Fruit,Orange,21.6,68.9,ColdStorage,Mountain,Spring,40
Fruit,Orange,15.1,51.2,Refrigerated,Mountain,Spring,58
Fruit,Orange,18.9,20.8,ColdStorage,Coastal,Monsoon,48
Fruit,Orange,25.1,67.6,Refrigerated,Rural,Monsoon,40
Fruit,Orange,18.3,70.6,Refrigerated,Coastal,Summer,42
Fruit,Orange,30.6,61.4,Room,Urban,Winter,11
Fruit,Orange,11.9,61.0,ColdStorage,Urban,Spring,60
Fruit,Orange,15.7,25.6,Room,Urban,Summer,28
Fruit,Orange,14.9,54.1,Room,Coastal,Winter,18
Fruit,Orange,19.1,80.0,Room,Coastal,Summer,19
Fruit,Orange,8.7,25.9,Room,Urban,Summer,40
Fruit,Orange,22.4,74.8,Room,Mountain,Winter,18
Fruit,Orange,30.7,45.7,Refrigerated,Mountain,Spring,27
Fruit,Orange,5.2,63.3,Refrigerated,Coastal,Summer,39
Fruit,Orange,23.8,71.1,ColdStorage,Coastal,Summer,29
Fruit,Orange,23.0,35.7,ColdStorage,Rural,Winter,56
Fruit,Orange,17.4,30.0,Room,Rural,Spring,25
Fruit,Orange,0.5,53.6,Room,Urban,Monsoon,28
Fruit,Orange,26.7,81.9,Room,Rural,Winter,12
Fruit,Orange,9.1,57.1,ColdStorage,Urban,Spring,54
Fruit,Orange,20.7,49.9,Refrigerated,Urban,Spring,39
Fruit,Orange,12.9,60.0,Room,Mountain,Monsoon,27
Fruit,Orange,10.9,86.8,Room,Coastal,Monsoon,18
Fruit,Orange,7.7,49.3,Room,Mountain,Summer,22
Fruit,Orange,24.8,93.0,ColdStorage,Coastal,Monsoon,35
Fruit,Orange,6.2,39.0,Refrigerated,Rural,Winter,51
Fruit,Orange,2.6,82.4,ColdStorage,Rural,Spring,60
Fruit,Orange,16.0,38.6,Refrigerated,Mountain,Winter,58
Fruit,Orange,14.5,51.4,ColdStorage,Urban,Monsoon,36
Fruit,Orange,21.5,82.2,Refrigerated,Mountain,Summer,26
Fruit,Orange,7.6,91.7,ColdStorage,Rural,Summer,57
Fruit,Orange,10.9,58.7,Refrigerated,Mountain,Summer,31
Fruit,Orange,8.0,78.4,Refrigerated,Mountain,Monsoon,40
Fruit,Orange,2.5,66.5,Room,Urban,Monsoon,28
Fruit,Orange,19.8,69.6,Room,Coastal,Spring,19
Fruit,Orange,8.1,23.4,Refrigerated,Rural,Summer,50
Fruit,Orange,32.1,75.3,Refrigerated,Coastal,Winter,18
Fruit,Orange,6.1,46.9,ColdStorage,Coastal,Summer,55
Fruit,Orange,19.0,62.3,ColdStorage,Rural,Spring,45
Fruit,Orange,14.3,49.6,ColdStorage,Coastal,Monsoon,55
Fruit,Orange,29.7,40.1,Room,Coastal,Monsoon,12
Fruit,Orange,7.6,71.8,ColdStorage,Urban,Spring,50
Fruit,Orange,7.2,57.4,Room,Mountain,Spring,24
Fruit,Orange,34.3,21.5,ColdStorage,Rural,Winter,23
Fruit,Orange,8.8,37.7,Refrigerated,Coastal,Winter,45
Fruit,Orange,0.4,76.7,ColdStorage,Rural,Summer,44
Fruit,Orange,10.6,63.3,Room,Coastal,Spring,33
Fruit,Orange,28.5,34.4,ColdStorage,Rural,Summer,28
Fruit,Orange,17.1,30.6,Refrigerated,Rural,Spring,36
Fruit,Orange,0.0,47.6,ColdStorage,Mountain,Spring,45
Fruit,Orange,2.9,63.6,Room,Mountain,Summer,32
Fruit,Orange,13.4,68.6,Refrigerated,Coastal,Summer,55
Fruit,Kiwi,21.7,79.2,Room,Mountain,Summer,10
Fruit,Kiwi,22.0,87.2,Room,Rural,Spring,11
Fruit,Kiwi,7.4,65.8,ColdStorage,Rural,Monsoon,55
Fruit,Kiwi,3.9,47.3,ColdStorage,Mountain,Summer,39
Fruit,Kiwi,10.8,42.7,ColdStorage,Urban,Monsoon,52
Fruit,Kiwi,4.1,92.8,ColdStorage,Coastal,Summer,31
Fruit,Kiwi,24.5,24.1,Refrigerated,Rural,Winter,27
Fruit,Kiwi,18.4,78.8,Refrigerated,Mountain,Monsoon,21
Fruit,Kiwi,8.5,80.7,Room,Coastal,Monsoon,20
Fruit,Kiwi,30.5,34.7,Room,Coastal,Spring,11
Fruit,Kiwi,14.7,75.8,Room,Rural,Winter,20
Fruit,Kiwi,7.4,61.8,Room,Urban,Spring,16
Fruit,Kiwi,6.4,49.9,Refrigerated,Mountain,Summer,37
Fruit,Kiwi,11.7,68.4,Refrigerated,Coastal,Winter,26
Fruit,Kiwi,24.9,20.8,Room,Mountain,Monsoon,13
Fruit,Kiwi,16.0,84.2,Refrigerated,Urban,Monsoon,21
Fruit,Kiwi,31.6,67.9,ColdStorage,Coastal,Winter,16
Fruit,Kiwi,15.4,58.3,Refrigerated,Rural,Summer,22
Fruit,Kiwi,6.9,88.3,ColdStorage,Rural,Monsoon,46
Fruit,Kiwi,21.8,61.5,Refrigerated,Urban,Winter,31
Fruit,Kiwi,7.3,77.9,Room,Coastal,Spring,15
Fruit,Kiwi,30.6,78.9,Refrigerated,Coastal,Summer,11
Fruit,Kiwi,18.6,72.8,Refrigerated,Coastal,Winter,18
Fruit,Kiwi,32.2,63.0,ColdStorage,Rural,Monsoon,15
Fruit,Kiwi,3.7,40.5,ColdStorage,Coastal,Spring,50
Fruit,Kiwi,28.5,27.6,ColdStorage,Coastal,Monsoon,22
Fruit,Kiwi,19.0,49.1,ColdStorage,Urban,Winter,39
Fruit,Kiwi,0.0,41.1,ColdStorage,Coastal,Spring,58
Fruit,Kiwi,7.4,61.3,Room,Rural,Monsoon,24
Fruit,Kiwi,9.5,59.8,Room,Coastal,Winter,25
Fruit,Kiwi,7.4,76.9,ColdStorage,Urban,Spring,43
Fruit,Kiwi,4.1,35.9,Room,Mountain,Monsoon,25
Fruit,Kiwi,23.7,60.3,Room,Coastal,Spring,16
Fruit,Kiwi,3.6,25.6,Refrigerated,Mountain,Winter,25
Fruit,Kiwi,1.1,55.1,Refrigerated,Rural,Spring,25
Fruit,Kiwi,13.2,65.7,Room,Urban,Summer,18
Fruit,Kiwi,9.1,26.7,ColdStorage,Coastal,Spring,39
Fruit,Kiwi,8.2,46.0,Room,Coastal,Spring,24
Fruit,Kiwi,18.9,50.2,ColdStorage,Mountain,Winter,25
Fruit,Kiwi,26.8,89.0,Room,Mountain,Winter,10
Fruit,Kiwi,18.6,84.8,ColdStorage,Mountain,Winter,30
Fruit,Kiwi,1.2,88.2,ColdStorage,Coastal,Summer,23
Fruit,Kiwi,6.0,31.4,Room,Coastal,Summer,19
Fruit,Kiwi,34.3,41.7,Room,Rural,Summer,8
Fruit,Kiwi,28.0,94.5,Room,Rural,Monsoon,11
Fruit,Kiwi,27.1,91.1,Room,Rural,Summer,8
Fruit,Kiwi,23.5,58.1,ColdStorage,Mountain,Summer,31
Fruit,Kiwi,5.8,93.5,Refrigerated,Coastal,Winter,28
Fruit,Kiwi,8.5,33.8,Room,Mountain,Winter,15
Fruit,Kiwi,14.9,77.1,Room,Mountain,Spring,17
Fruit,Kiwi,24.1,22.1,Refrigerated,Rural,Spring,28
Fruit,Kiwi,14.4,76.3,ColdStorage,Mountain,Winter,21
Fruit,Kiwi,15.6,69.1,ColdStorage,Mountain,Winter,23
Fruit,Kiwi,18.6,71.9,ColdStorage,Rural,Winter,36
Fruit,Kiwi,0.3,71.1,Refrigerated,Rural,Spring,41
Fruit,Kiwi,16.6,69.4,Room,Coastal,Summer,17
Fruit,Watermelon,13.7,36.3,Room,Rural,Summer,8
Fruit,Watermelon,27.0,24.4,ColdStorage,Urban,Winter,14
Fruit,Watermelon,34.5,57.1,Refrigerated,Urban,Spring,10
Fruit,Watermelon,25.2,86.1,Room,Rural,Winter,7
Fruit,Watermelon,17.1,78.6,Room,Rural,Monsoon,8
Fruit,Watermelon,15.5,72.2,ColdStorage,Urban,Monsoon,17
Fruit,Watermelon,27.5,21.6,Refrigerated,Mountain,Summer,12
Fruit,Watermelon,14.7,81.0,Refrigerated,Rural,Winter,14
Fruit,Watermelon,5.1,53.1,Room,Mountain,Monsoon,8
Fruit,Watermelon,2.3,31.0,ColdStorage,Mountain,Spring,19
Fruit,Watermelon,4.5,60.3,Room,Mountain,Winter,13
Fruit,Watermelon,14.9,89.1,ColdStorage,Mountain,Spring,21
Fruit,Watermelon,9.7,83.9,ColdStorage,Urban,Winter,11
Fruit,Watermelon,16.7,41.5,ColdStorage,Rural,Winter,14
Fruit,Watermelon,8.5,28.3,Refrigerated,Coastal,Summer,17
Fruit,Watermelon,33.6,49.9,ColdStorage,Urban,Winter,6
Fruit,Watermelon,1.3,77.2,ColdStorage,Mountain,Summer,17
Fruit,Watermelon,27.3,39.9,Room,Urban,Winter,6
Fruit,Watermelon,1.3,37.5,Room,Rural,Spring,15
Fruit,Watermelon,5.7,47.9,Refrigerated,Rural,Monsoon,15
Fruit,Watermelon,27.7,51.5,Room,Rural,Monsoon,5
Fruit,Watermelon,1.8,49.7,Room,Rural,Winter,11
Fruit,Watermelon,26.7,73.3,Room,Coastal,Winter,4
Fruit,Watermelon,12.2,41.0,Refrigerated,Mountain,Monsoon,13
Fruit,Watermelon,2.9,41.4,Room,Coastal,Summer,8
Fruit,Watermelon,1.7,53.4,Room,Coastal,Summer,11
Fruit,Watermelon,25.7,74.5,Room,Urban,Spring,6
Fruit,Watermelon,19.1,57.4,ColdStorage,Urban,Winter,15
Fruit,Watermelon,19.5,89.0,Room,Coastal,Winter,7
Fruit,Watermelon,33.0,33.3,Refrigerated,Coastal,Spring,8
Fruit,Watermelon,30.9,46.0,Room,Urban,Spring,4
Fruit,Watermelon,30.6,91.3,Refrigerated,Rural,Monsoon,6
Fruit,Watermelon,18.0,24.7,Room,Coastal,Summer,9
Fruit,Watermelon,23.1,28.1,ColdStorage,Mountain,Summer,13
Fruit,Watermelon,16.0,70.4,Refrigerated,Coastal,Spring,13
Fruit,Watermelon,31.9,53.9,Refrigerated,Rural,Winter,6
Fruit,Watermelon,20.0,79.5,Refrigerated,Rural,Summer,13
Fruit,Watermelon,31.3,26.1,Room,Urban,Monsoon,7
Fruit,Watermelon,7.7,48.5,ColdStorage,Rural,Summer,18
Fruit,Watermelon,7.3,85.9,ColdStorage,Urban,Summer,21
Fruit,Watermelon,23.5,42.5,Refrigerated,Mountain,Monsoon,11
Fruit,Watermelon,3.9,85.7,ColdStorage,Urban,Spring,21
Fruit,Watermelon,16.1,89.4,ColdStorage,Coastal,Winter,14
Fruit,Watermelon,30.9,75.2,Room,Coastal,Winter,4
Fruit,Watermelon,24.6,44.8,Refrigerated,Mountain,Spring,9
Fruit,Watermelon,6.4,71.3,ColdStorage,Rural,Spring,22
Fruit,Watermelon,29.5,56.3,Refrigerated,Coastal,Spring,8
Fruit,Watermelon,25.7,73.8,Refrigerated,Rural,Spring,8
Fruit,Watermelon,0.7,67.9,Room,Rural,Monsoon,11
Fruit,Watermelon,33.4,70.0,Refrigerated,Rural,Summer,5
Fruit,Watermelon,19.9,29.5,Room,Rural,Summer,9
Fruit,Watermelon,28.8,24.2,Room,Rural,Monsoon,4
Fruit,Watermelon,28.7,38.6,ColdStorage,Urban,Winter,13
Fruit,Watermelon,4.1,43.4,ColdStorage,Rural,Winter,23
Fruit,Watermelon,5.3,32.3,Refrigerated,Mountain,Monsoon,25
Fruit,Watermelon,6.3,94.4,Refrigerated,Mountain,Monsoon,13
Fruit,Pomegranate,6.5,75.4,Room,Coastal,Spring,38
Fruit,Pomegranate,25.3,78.0,Room,Coastal,Monsoon,25
Fruit,Pomegranate,32.8,56.6,ColdStorage,Coastal,Monsoon,34
Fruit,Pomegranate,16.9,89.1,Room,Mountain,Spring,23
Fruit,Pomegranate,4.8,65.0,Refrigerated,Rural,Summer,60
Fruit,Pomegranate,29.6,77.8,Refrigerated,Rural,Winter,39
Fruit,Pomegranate,19.1,62.2,ColdStorage,Coastal,Monsoon,55
Fruit,Pomegranate,0.3,28.7,Room,Rural,Spring,37
Fruit,Pomegranate,29.9,73.5,Room,Rural,Spring,19
Fruit,Pomegranate,11.4,88.8,Refrigerated,Rural,Monsoon,40
Fruit,Pomegranate,30.5,80.6,Room,Mountain,Summer,16
Fruit,Pomegranate,31.2,60.8,Refrigerated,Mountain,Spring,31
